random_nam|redacted_mission_text|state/provinc|countri|social sector|tech sector|redacted_situation_text|
gldkn|we mobil a team to enabl public middl school in low-incom communiti to provid along learn day rich with opportun. our deep partnership with school put young adultson track to succeed by connect the resourc of communiti, compani, govern, andphilanthropi.|new jersey|usa|x||citizen school new jersey partner with middl school to expand the learn day. by draw more citizen into our school, we re promot student achiev, transform school, and re-imagin educ in new jersey. we are seek `` citizen teacher'' to share their passion, expertis, and profession for one hour per week, over a 10-week period in winter of 2015. citizen teacher help student learn the skill necessari for success in the 21st centuri, includ oral present, data analysi, technolog, leadership, and teamwork. alongsid an educ, citizen teacher teach anyth and everyth, from financ to technolog to cook! we offer a varieti of pre-built curriculum that you can teach from or you can creat your own. you can look for idea in our idea bank, or choos from a curriculum that s alreadi been done. alongsid an educ, you will transform kid into scientist, architect, engin, etc. these project chang live, inspir career and set student on a path of learn. at just one hour per week, over the cours of ten week you ll help student make clear connect between their schoolwork, colleg and career.|
gmlin|celebr the island's rich histori, creat memor park and public space, and ensur appropri reus of the island and it histor structur|new york-ni|usa|x||governor island allianc need to select a crm system as we establish an independ nonprofit to serv the thousand of visitor who enjoy this beauti destin each year. we will need to keep track of volunt, member, donor, mail list, etc. and would like guidanc in compar, choos and implement a system that best meet our need.|
goohk|donorschoose.org make it easi for anyon to help a classroom in need. public school teacher from everi corner of america creat classroom project request, and you can give ani amount to the project that inspir you.|new york-ni|usa|x||our offic is enrol with mozi as our cloud-bas backup solut. a quarter of our staff opt out of it becaus it s been buggi, and reli on a combin of box, dropbox, and outlook. we d like to find a more reliabl backup solut for our entir offic. crashplan seem to be a strong contend. we would be grate to have a volunt help identifi an altern and outlin the step to deploy it with our entir offic.|
gwdtr|gwdtr mission is to improv the qualiti of educ for all children in the new york citi public school system by make parent organ stronger and more effect. gwdtr facilit the growth and success of parent organ and build a collabor communiti across public school by provid parent leader with inform, tool and support, as well as the opportun to share experi and best practic.|ny|usa|x||gwdtr.org is a rapid grow web-bas resourc center dedic to improv nyc public school educ and parent engag by make parent organ stronger and more effect. along with inform, tool and resourc that ptas need, the site provid parent leader with the opportun to share best practic and strategi, build a collabor communiti of ptas across public school. to further this goal, and at the request of mani parent organ leader, we plan to add to the site a moder forum where parent leader can ask question of and provid answer to other about their work in school. we seek assist choos an appropri modul for the forum and integr it into our( word press) site.|
gyksu|the mission of the gyksu is to prevent child abus and reduc it devast impact.|california-ca|usa|x||our organ aim to prevent child abus and reduc it devast impact. the children s advocaci center( cac) provid a place where trauma stop and justic and heal begin. the cac is model on the simpl but power concept of multidisciplinari coordin to creat a best-in-class respons to incid of child abus. we are work to implement an integr databas system with our citi partner to be abl to case track our client, improv communic and coordin of inform, and identifi system gap. we are look to receiv further help from someon who has a deeper knowledg on softwar databas and help provid advic on which databas and best approach.|
higfv|the mission of yes she can is to develop transfer job skill for teen girl and young women with autism spectrum disord to enabl them to join the competit workforc.|new york-ni|usa|x||higfv., a non-profit found in novemb 2013, is dedic to develop transfer job skill and workplac social skill – through authent work experi – for teen girl in transit from high school to adulthood and for young women with autism spectrum disord to enabl them to gain and sustain employ and build career in the competit job market higfv. oper girl again, a resal boutiqu for american girl doll( we use this retail environ to teach job skill to women with autism). we get use merchandis and we need an inventori manag system that is simpl and that we can train our worker to use. there are a number of consign softwar packag but they seem too complex and not relev to our need. we need help to assess them and to determin if we just need a custom design simpl system.|
hihua|the children chorus of washington provid the best choral music experi for young peopl in the nation capit through it except educ program, perform opportun, and communiti partnership.|dc|usa|x||hihua( ccw) is intern recogn and critic acclaim for it seventeen-year histori of outstand artistri. ccw has reach five contin through domest and intern tour, record, and frequent appear on public radio and televis. our extraordinari music educ program, which engag and educ vocalist age 6 to 18, help youth develop as musician and leader, regardless of background, econom status, or prior experi. our five audit ensembl perform frequent with lead music organ, includ the nation symphoni orchestra( nso), choral art societi, and the washington chorus, at washington, dc s most prestigi venu such as strathmor music hall and the john f. kennedi center for the perform art. sing prep, an inclus program, introduc first-tim singer to the choral experi. ccw is a small non-profit that has never had a real databas for track all of our famili, donor, alumni, and audienc member. we have been use excel for all of our record, but we ve grown big enough that we need a real databas to make sure all the inform about our extend famili is in one place. in order to continu expand sustain, we are in search of an afford crm that also has the capac to sell ticket to concert and event( we have not been satisfi with our current ticket vendor), and in an ideal world, to also track chorist registr. these technolog tool will help us spread our mission and our music to a greater audienc and ensur that we can stay in contact with the ccw famili for year to come.|
hjun|the crisi food center provid a 5 day, nutritionally-balanc suppli of food to individu and famili who are in need. in addit, we oper the near new shop which provid new and gentl use cloth to client at no cost.|il|usa|x||the crisi food center is a food pantri distribut a 5-day suppli of nutrit balanc food to near 30,000 a year. we are proud of the commit to health that set us apart from most pantri. we are also proud of the summertim program that feed children breakfast and lunch in the safeti of their own home. howev, keep track of our client and their statist could use improv. at the end of the year, we must physic go through each of more than 8000 record to extract the inform we need for our record and to report to those who fund us. as old as i am, i know this doe not need to be. comput can do this with the right softwar. but what is the right softwar? which data base alreadi doe what we need it to do. as old as i am i also know there are peopl who are train to know what softwar i need. i honest think whoever help the crisi food center with this project could in fact be save my saniti.|
hmhrq|the respit help peopl who have suffer a signific loss in ani form to reclaim a healthi and product life. we provid a safe haven, a support communiti, and take a holist approach that offer a varieti of heal modal( mind, soul and bodi) to empow individu and famili. our vision is to shift how grief is view in the world – move from shame and isol to unveil( or mine) grief transform gift. we welcom grief and provid hope for tomorrow.|nc|usa|x||hmhrq is for those who have suffer great tragedi, a signific life loss, a trauma, a life-shak, earth-shatt event or seri of events… and, it is also for those who are live with everi day loss which are life-chang and life-evolv. we want to start offer onlin class. we want to be abl to reach as mani peopl as possibl with import tool and educ about grief and find hope. have an onlin class option will make our resourc access to anyon with a comput. it will also provid us with anoth revenu stream so we can continu to offer our servic. we need help with select the best platform/softwar to do this, and perhap help us with implement. we have a wordpress websit so perhap there is a good plugin that could be integr? we are also open to a `` stand alon'' platform that can be custom to our brand. we will need the platform to offer both webinar format( visual and audio), a place where doc, video, etc. can be store and download by the client, and perhap have onlin form. sinc we are a non-profit we need this to be low-cost or even free.( we might have some money from a possibl grant that we could put toward this as well.)|
hndwl|hndwl( mjff) is dedic to find a cure for parkinson's diseas through an aggress fund research agenda and to ensur the develop of improv therapi for those live with parkinson's today. sinc it found in 2000, mjff has fund more than$ 450 million to speed a cure for parkinson.||usa|x||design an applic that bring fundrais and potenti sponsor togeth. sponsor could be of ani size–from huge corpor to individu sponsor their friend. this app should allow our volunt to track their activ and allow sponsor to match these activ with dollar.|
hotqc|the hotqc work to promot and protect afford and sustain home ownership in neighborhood across new york citi. launch as a respons to the local repercuss of the nation mortgag crisi, the center network of counselor and attorney offer a rang of hous relat servic, from foreclosur prevent to disast recoveri and reloc.|||||the center would like a web applic that resid and visitor can use to better understand the public inform avail though nyc open data. the center would like a visual represent of the data on a neighborhood level, make it easi for communiti member to see a real time view of what happen in their communiti. public avail data could also be supplement with social feed show what each neighborhood is talk about( or what lot of neighborhood are talk about). in general, the app should provid a way for user to get a true understand of what happen in their neighborhood and present a call to action to help draw attent to issu affect their neighborhood.|
tssve|we envis nourish as a global movement through which student make a sustain impact on extrem poverti and creat opportun for chang. we envis a world in which all peopl are abl to meet their basic human need.( actual their vision statement)|||x||a need to develop softwar to better connect student chapter to each other for support dure the year, includ access to project resourc.|
ttacq|the mission of in my father kitchen is to feed peopl spirit, soul and bodi by use food to open the door to peopl heart. the purpos of in my father kitchen is root in the teach and exampl of jesus christ. in my father kitchen feed the hungri natur and spiritu through food distribut and suppli basic necess.|||x||establish a directori of peopl they serv in order to keep in touch and provid support, prove difficult if they are homeless. also a need to track impact, archiv data.|
uaihm|a peopl of hope empow to thrive collect form a unifi neighborhood rich in cultur and communiti. discov and develop the uniqu hopeprint( uniqu imprint of hope entrust to each individu to leav on the world around them) of our hopeprint famili by build relat bridg within our divers neighborhood and extend into the communiti at larg.|||x||system or softwar to better help refuge manag paperwork, legal mileston when arriv in syracus|
ucikk|`` at susan g. komen, our mission is pretti simpl: to save live and end breast cancer forev. how we do it…wel, that a bit more complex. we educ, support research, offer grant that provid financi and emot assist and advoc for better breast cancer polici. but in a broader sens, we empow other, ensur qualiti care for all, and invest in scienc to find the cure.''|||x||would like to better track impact in low-incom countri|
ugjjm|the shelter for the citi's alcohol, drug addict and those who can not bring themselv to be clean and sober. hospit come first, then shelter worker help the men sort out their struggl, program to help societi's `` forgotten men''|||x||need to establish web presenc to help attract donor and other interest parti, also an updat mean to keep track of particip( registry/profile/databas setup) or secur system manag.|
ujpcx|to help children thrive and famili flourish through innov, community-bas program.|||x||develop of a code class for student in an after school program|
urrhn|help mission is to creat, through merit- and needs-bas univers scholarship, a communiti of young profession and leader who promot a more just societi in haiti.- see more at: http: //uhelp.net/# sthash.klh9wyhs.dpuf|||x||code for a mobil kiosk/device/appl for team member to go into more rural area and regist student in need|
verpc|girl scout build girl of courag, confid, and charact, who make the world a better place.|||x||need to restructur cookie-distribut order and distribut system, streamlin data input onc order are place.|
vfrnf|work to end hunger in nyc/ provid meal and rais awar/ incom support servic to help peopl afford food and achiev digniti and independ/ nutrit educ/ creat long term solut to poverti|||x||help in distribut consist nformation/materi and empow other to advoc for the hungri|
vilfb|to empow emerg artist and art organ across all disciplin at critic stage in their creativ live and professional/organiz develop.|||x||optim the seo of their hallmark program, nyfa classifi ad|
vjlwt|we are a christian evangel organ help the street children of cairo and the surround area.||egypt|x||i need a way to effici manag asset around my children -- photo, contact inform, sponsor data, etc. right now all my data is in a big spreadsheet and i need to move it into salesforc. i have to learn about databas. we heard we should be use salesforc, so that's whi i'm here. my mision is to help children, not be an it person. i know that sponsor want pictur of the children and i hope i can use salesforc to increas engag that way.[ do you have establish workflow?] what's workflow? i inherit salesforc. the director said, you re american. you can be incharg of the softwar.' i'm hope to connect with a develop here who can help me.|
vjyof|salesforc add-on to extend the platform, specif the ngo starter pack. provid softwar extens& softwar custom.||||x|salesforc add-on to extend the platform, specif the ngo starter pack. provid softwar extens& softwar custom.|
votid|votid appli it core capabl in deliv it primari solut area: social busi manag, employe centric communiti, social busi process, custom centric communiti, and social market and outreach. address this core group allow 7summit to align busi object with audienc need and deliv solut that culmin in a clear path to busi success.||||x|votid appli it core capabl in deliv it primari solut area: social busi manag, employe centric communiti, social busi process, custom centric communiti, and social market and outreach. address this core group allow 7summit to align busi object with audienc need and deliv solut that culmin in a clear path to busi success.|
vvjay|vvjay is headquart in markham ontario, canada – and exclus serv the non-profit industri. we are focus on provid lead edg cloud applic and solut to mid-siz fundrais non-profit of all type, elev their abil to creat social chang.||||x|vvjay is headquart in markham ontario, canada – and exclus serv the non-profit industri. we are focus on provid lead edg cloud applic and solut to mid-siz fundrais non-profit of all type, elev their abil to creat social chang.|
vwrdp|we work with client larg and small, assist them at all stage in the process: organ idea and develop strategi, select the most appropri packag, implement it for best result, and keep system optim with long-term support.||||x|we work with client larg and small, assist them at all stage in the process: organ idea and develop strategi, select the most appropri packag, implement it for best result, and keep system optim with long-term support.|
wngrr|wngrr work with nonprofit organ and educ institut to creat and implement strateg solut base on cloud technolog. we special in salesforce.com and googl app implement.||||x|wngrr work with nonprofit organ and educ institut to creat and implement strateg solut base on cloud technolog. we special in salesforce.com and googl app implement.|
wpexm|complet onlin donor, event, and fundrais manag tool.||||x|`` we seek to help non-profit and ngos leverag technolog to maxim their effect and flourish.''|
wpoor|wpoor is a social ventur and certifi b corp exclus dedic to strengthen the technic and perform manag capac of nonprofit organ global.||||x|wpoor is a social ventur and certifi b corp exclus dedic to strengthen the technic and perform manag capac of nonprofit organ global.|
wsqai|softwar extens to the salesforc platform for manag event-bas donat.||||x|softwar extens to the salesforc platform for manag event-bas donat.|
wtgcu|funds/transact support infrastructur for manag fundrais campaign, nurtur donor, and other crm function.||||x|funds/transact support infrastructur for manag fundrais campaign, nurtur donor, and other crm function.|
wytil|||||x|this is a set of script written in rubi use to manag provis profil and certif either local or through the appl develop center( adc) .the project also contain a few script relat to manag the provis profil in xcode.they are use in continu integr environ( for exampl jenkin) to updat, compil& valid io or unity3d projects.requir depend to manipul provis profil, you will need plist and json to access the appl develop center site, you will need mechan>= 2.2 and encrypted_str.|
xbwtb|||||x|an android applic by toni owen design to help develop by automat ad their app to a widget for easi launch/ uninstal/ reinstal etc.root featur such as one click uninstal, and clear cach ad by ronald ammann.thi project need a librari depend to libsuperus.|
xdgnh|||||x|avail in an app store near you! overview the phonegap develop app is a test util for web develop and design use the phonegap framework. after instal the phonegap develop app you can connect to your phonegap desktop app to instant view and test your project on the device.for more inform, see app.phonegap.com.|
xjemf|||||x|robust and comfort dev stack for isomorph web app. forget about evil framework, learn laser focus librari and pattern instead.forget about php, rubi, angular, backbon, whatev client/serv onli solut. also, you do n't need anoth me-too-flux librari, vanilla flux is enough. this dev stack is web dev panacea, at least for me prerequisit instal ioj or node.j. then instal gulp.js.npm instal -g gulp window user, pleas read ryanlanciaux.github.io/blog/2014/08/02/using-jest-for-testing-react-components-on-windows/. sass-load need someth similar, so pleas fix it for yourself, or remov sass-load from package.json and makeconfig.j, or give it up and use develop more friend os like linux or mac. i just tri to instal python 2.7 on window but instal has fail for no reason. typic window, so happi i quit.|
xjgok|||||x|the socialmediaenhanc( sme) provid beauti style and static social media share button for your wordpress blog. it fetch the social count( share activ) from google+, facebook, twitter, linkedin and pinterst in the background without the use of perform critit javascript from the social networks.to provid a optim present of your post at the social network after share, the sme is use the open graph protocol( ogp) to includ well format meta element on everi post.choos a style for the button and decid which network do you want to use.|
xrucc|||||x|creat a new cron-job. you may do so by schedul http: //yourdomain.com/path_to_script/cron/ with an interv you prefer. pleas use the standard wget'( without quotat mark) command. the script will grab new data from all avail sourc.|
xrwex|||||x|jqueri social media plugin that aggreg and combin facebook, twitter, linkedin, youtub, instagram, pinterest and.. combin social feed from multipl social network or rss in eleg layout via this social plugin.|
xsslb|||||x|socialmediamonitor is a collect of api method of the apphera api( apphera, inc.). at this time it offer sentiment analysi in 6 languag, keyword track( serp), competitor search and review track from social review site such as qype, yelp, pointoo, kennstdueinen.d, tripadvisor, goloc, hotels.com, meinestadt.d, restaurant-kritik.d, wowarstdu.d etc. includ review inform. the api is a straight forward rest api you could use with ani client like: curl -is -g -d ``& api_key=e23d80483193fddd72a2c364a72cd738& country=d& cat_id=135& geo=53.66,10.1154'' https: //api.apphera.com/1/organ|
yalxp|||||x|yalxpi a fulli test laravel inventori solut. it provid the basic of inventori manag use eloqu such as: • yalxpitem manag • yalxpstock manag( per locat) • yalxpstock movement track • yalxpsku generat • yalxpsuppli manag • yalxptransact manag all movement, stock and inventori item are automat given the current log in user's id. all inventori action such as puts/removes/cr are cover by laravel's built in databas transact. if ani except occur dure an inventori chang, it will be roll back automat. depend on your need, you may use the built in trait for custom and creat your own model, or you can simpli use the built in models.requir • laravel 4.*| 5.* • laravel's auth, sentri or sentinel if you need automat account recommend: • venturecraft/revision( for track categori and locat chang to stock) benefit if you re use the trait from this packag to custom your instal, that mean you have complet flexibl over your own model, method( exclud relationship names/typ), databas tabl, properti name, and attribut. you can set your own base model, and if you do n't like the way a method is perform just overrid it. sit back and relax, it's nice to have control.|
yclol|||||x|an interfac where administr can manag product easili on one page and quick perform the common product action. from the left there is a tree of taxonomi, where admin can manag node just like he doe it in /admin/taxonomi now( creat, move, renam etc.). after each taxon there is a number of product, have this taxon. by click on a taxon or taxonomi admin can see product have taxon in a select node. product are shown in product list. product list contain the follow column: • select checkbox( help to select a set of product for group process). • sku • product name( also a link to edit product) • main price • indic if a product has imag • quick action product list have pagin and `` product per page'' selector( 10/50/100/all) .each product has the follow quick action( from left to right): •indic if the product is shown in a shop. if an indic is dark, the product is hidden. by click on a dark indic product becom avail from now. light indic tell that the product is activ; admin can hide the product from now by click it. • preview the product on site( open in a new tab). • edit product. • clone product. • delet product.abov the product list there a button `` new product in this categori''. this button open `` new product'' dialog with pre-defin taxon( current select taxon) .quick group product process control from the right perform just the most common action with select product: • publish from( select date). • quick hide from now. • add a taxon to select product( select taxon from combo-box). • delet select product.|
yhpim|||||x|this is a simpl web-bas inventori manag softwar written in php( mysql) with codeignit. this was specif written for a high school but with a bit of tweak, should work fine for other too. featur •typic inventory-manag. add stuff to stock, issu them and the softwar keep track of number, cost, etc. •also manag multipl supplier, warehous, etc. so you know whom you buy certain thing with and where they re store. •also has a vehicl mileag tracker origin meant to track school bus mileag). add refuel data and it ll show you what mileag you re get with nice graph about how your mileag and fuel consumpt has been vari. • differ user-level. • differ custom type( with vari profit margin for each). •produc numer report about how you re do, what a particular custom has been buy, how the purchas of a certain product go, etc.usag like said abov, unless you re use it for a school, might need some tweak. just instal it and see what need to be chang. i can not implement them for you but will answer ani question you might have about the current code if you email me. •extract everyth. •creat a databas use the sql dump provid. the dump provid has some sampl data in it. use them to explor the system. you can empti them after instal as well. also make sure to add a user while import the dump. •updat ./application_fa93g/config/database.php to the correct host, db name, user and password. you might also have to updat the tabl prefix if you ve chang them in the databas.|
yivbf|||||x|an open sourc softwar packag for manag the infrastructur of a data center, no matter how small or larg. initi develop in-hous at vanderbilt univers inform technolog servic by scott milliken.|
yjsfl|||||x|this is my cours project for cs315- introduct to databas system cours at iit kanpur.|
ylbgj|||||x|ylbgj is an open sourc inventori and suppli chain manag system. the initi implement of ylbgj will occur at partner in health-support facil in haiti.|
yngpq|||||x|network manag for puppet deprec warn this modul is no longer be maintain or updat. it has been supercededd by adrien thebo's modul which can be found here: http: //forge.puppetlabs.com/adrien/network overview this modul provid type for network manag: • devic configur file use the network_config type • live network manag use the network_interfac type note: network_interfac and network_config type are not depend on each other in ani way. network_interfac is experiment. the network_config' type the network_config type is use to maintain persist network configur. onli redhat-deriv( rhel, fedora, cento) are current support.|
ypwpr|||||x|a network manag ui for global admin in a wordpress multisit environ turn your multi-sit instal of wordpress into mani multi-sit network, all surround one central user base. ypwpr allow cape wear super-admin to creat new network of site, allow for infinit extens site, network, and domain arrang.|
yufwi|||||x|a discoveri servic and client for find and configur razberi devic over the network. also provid a central server for collect status inform from razberi on the network. the central server can be configur in a varieti of way: • a standalon server that run on a singl unit( good for when the deploy onli has a singl razberi) • a server locat on the lan that all unit on the network can reach( good for when all site are connect via a vpn or are locat on the same subnet as the manag server) • a server locat in the cloud, host by razberi( good for when site are independ setup and all have a rout to the internet, also reduc burden of host a manag server) the razberi devic are configur to push relev inform about itself to the central server on a period basi.|
yyknf|||||x|the goal of this project is to have a unifi way of program your large-scal dynam network. think of it as a blend between puppet, nagio, collectd, graphit, shipyard, secur group, cloudform. how doe it work? yyknf allow you to defin your network as a set of resourc in a .yml file. exampl resourc type: • node • networkinterfac • class • ipruleset • ... etc each resourc' has a uniqu id and can have zero or more class. the id and class structur allow you to target your resourc in compar way to css selector. onc you have defin your network( resourc) in a .yml file, you can load the topolog into memori. the load structur can now be use to develop various network-bas configur manag tool. exampl tool: • distribut iptabl rule generat: defin rule by referenc other node by id or classnam( dynam configur) • configur manag: defin instal packag, and generat config file per host • monitor: defin monitor rule by classnam per host pleas refer to the example/ directori for exampl network configur. this project is in early-stag develop instal this project use compos to manag it's depend. simpli run compos instal to instal all depend in the vendor/ directori.|
