"random_name"|"redacted_mission_text"|"State/Province"|"Country"|"Social Sector"|"Tech Sector"|"redacted_situation_text"
"FXEEM"|"Disability Rights helps people across Wisconsin gain access to services and opportunity through its advocacy and legal expertise. We regularly challenge systems and society to create positive change and improve the lives of people with disabilities."|"Wisconsin-WI"|"USA"|"x"||"Disability Rights Wisconsin is a private nonprofit organization which was founded in 1977. Designated by the Governor to ensure the rights of all state citizens with disabilities through individual advocacy and system change, DRW is part of a national system of federally mandated independent disability agencies. Disability Rights Wisconsin serves people of all ages, including people with developmental disabilities, people with mental illness, people with physical or sensory disabilities, and people with traumatic brain injury.

Our website is a valuable resource for individuals with disabilities including their caregivers.  We feel our current site could provide so much more to a population who has had so many cuts to programs and to changes to their living situation.  We have many staff that have a wealth of information we can provide to the individuals that contact us.  Our current site does not reflect that wealth we hold.  Our resources are limited because of federal cuts to our grants.  There are so many elements we would like to add, but have limited staff time or limited knowledge in doing so.  We really would like to add a more seamless way to review our publications instead of just using adobe reader.  We would like to provide interactive QandA on several issues that impact our clients. The design of our site is very dated  and needs a fresh new look. We need an expert to review our website and provide recommendations on how it can be improved to help us better serve our clients."
"FYEFV"|"Medical Institute is dedicated to aligning and disseminating scientific data that promotes optimal health and wellness."|"TX"|"USA"|"x"||"The Medical Institute is dedicated to aligning and disseminating scientific data that promotes optimal sexual health and wellness. We redid our website in 2012 using WordPress. What we have now is a huge improvement but it already needs some updating. Before we make any changes we d like to get a better sense of what could be improved. Our website has some specific features that sometimes make it challenging for our constituents to navigate. For example, we have a free newsletter, an online store, membership and other resources on our website. Is there something else we could do to make it easier for our constituents to find the tools and resources they need? What can we do to make it more effective?"
"GIRFD"|"To improve the critical thinking, cultural enrichment and literacy of Proviso Township by engaging volunteers in quality mentoring activities for youth"|"IL"|"USA"|"x"||"The Website Usability Assessment project will review a website, using industry-wide best practices, to identify and categorize (and document) potential usability issues."
"GIRHU"|"GIRHU will help close the opportunity gap in public education by providing transformational apprenticeships and mobile innovation labs."|"Georgia-GA"|"USA"|"x"||"GIRHU will help close the opportunity gap in public education by providing transformational apprenticeships and mobile innovation labs. Our STE(A)M Truck inspires youth to learn Science, Technology, Engineering, Arts and Math by bringing the coolest tools, equipment and mentors directly to school.

STE(A)M Truck allows youth to design solutions, tackle real problems and then build something together.  As a vehicle (literally and figuratively) to close the opportunity gap, STE(A)M Truck (Science, Technology, Engineering, Arts and Math)is both an innovation lab and mobile makerspace.  

We need volunteers during the Build phase of this program.  The Build activities happen over the course of 10 days, afterschool, and push students to move from brainstorming to crafting, building their confidence with the available tools. Volunteers with expertise in one or more of the following skills are desired:

Teaching middle school youth
3D printing/CAD
Wood working/CNC routing/metal working
Youth geared computer programming and app development (ie Scratch, MIT App Inventor) 
Basic electronics/Arduinos

Our next Build phase will take place several afternoons per week starting in mid September through mid October (dates tbd) and at KIPP South Fulton Academy:
1286 Washington Ave
 East Point, GA 30344"
"GLDKN"|"We mobilize a team to enable public middle schools in low-income communities to provide alonger learning day rich with opportunities. Our deep partnerships with schools put young adultson track to succeed by connecting the resources of communities, companies, governments, andphilanthropies."|"New Jersey"|"USA"|"x"||"Citizen Schools New Jersey partners with middle schools to expand the learning day. By drawing more citizens into our schools, we re promoting student achievement, transforming schools, and re-imagining education in New Jersey. 

We are seeking ""Citizen Teachers"" to share their passion, expertise, and professionalism for one hour per week, over a 10-week period in winter of 2015. Citizen Teachers help students learn the skills necessary for success in the 21st century, including oral presentation, data analysis, technology, leadership, and teamwork.

Alongside an educator, Citizen Teachers teach anything and everything, from finance to technology to cooking!  We offer a variety of pre-built curriculum that you can teach from or you can create your own. You can look for ideas in our idea bank, or choose from a curriculum that s already been done.  Alongside an educator, you will transform kids into scientists, architects, engineers, etc. These projects change lives, inspire careers and set students on a path of learning.  At just one hour per week, over the course of ten weeks you ll help students make clear connections between their schoolwork, college and career."
"GMLIN"|"CELEBRATE THE ISLAND'S RICH HISTORY, CREATE MEMORABLE PARKS AND PUBLIC SPACES, AND ENSURE APPROPRIATE REUSE OF THE ISLAND AND ITS HISTORIC STRUCTURES"|"New York-NY"|"USA"|"x"||"Governors Island Alliance needs to select a CRM system as we establish an independent nonprofit to serve the thousands of visitors who enjoy this beautiful destination each year. We will need to keep track of volunteers, members, donors, mailing lists, etc. and would like guidance in comparing, choosing and implementing a system that best meets our needs."
"GOOHK"|"DonorsChoose.org makes it easy for anyone to help a classroom in need. Public school teachers from every corner of America create classroom project requests, and you can give any amount to the project that inspires you."|"New York-NY"|"USA"|"x"||"Our office is enrolled with Mozy as our cloud-based backup solution. A quarter of our staff opted out of it because it s been buggy, and relies on a combination of Box, Dropbox, and Outlook. We d like to find a more reliable backup solution for our entire office. Crashplan seems to be a strong contender. We would be grateful to have a volunteer help identify an alternative and outline the steps to deploying it with our entire office."
"GWDTR"|"GWDTR’s mission is to improve the quality of education for all children in the New York City public school system by making parent organizations stronger and more effective.  GWDTR facilitates the growth and success of parent organizations and builds a collaborative community across public schools by providing parent leaders with information, tools and support, as well as the opportunity to share experiences and best practices."|"NY"|"USA"|"x"||"GWDTR.org is a rapidly growing web-based resource center dedicated to improving NYC public school education and parent engagement by making parent organizations stronger and more effective. Along with information, tools and resources that PTAs need, the site provides parent leaders with the opportunity to share best practices and strategies, building a collaborative community of PTAs across public schools. To further this goal, and at the request of many parent organization leaders, we plan to add to the site a moderated forum where parent leaders can ask questions of and provide answers to others about their work in schools. We seek assistance choosing an appropriate module for the forum and integrating it into our (Word Press) site."
"GYKSU"|"The mission of the GYKSU is to prevent child abuse and reduce its devastating impact."|"California-CA"|"USA"|"x"||"Our organization aims to prevent child abuse and reduce its devastating impact. The Children s Advocacy Center (CAC) provides a place where trauma stops and justice and healing begin. The CAC is modeled on the simple but powerful concept of multidisciplinary coordination to create a best-in-class response to incidents of child abuse. We are working to implement an integrated database system with our city partners to be able to case track our clients, improve communication and coordination of information, and identify system gaps.  We are looking to receive further help from someone who has a deeper knowledge on software databases and help provide advice on which database and best approaches."
"HIGFV"|"The mission of Yes She Can is to develop transferable job skills for teen girls and young women with autism spectrum disorders to enable them to join the competitive workforce."|"New York-NY"|"USA"|"x"||"HIGFV., a non-profit founded in November 2013, is dedicated to developing transferable job skills and workplace social skills – through authentic work experience – for teen girls in transition from high school to adulthood and for young women with autism spectrum disorders to enable them to gain and sustain employment and build careers in the competitive job market

HIGFV. operates Girl AGain, a resale boutique for American Girl dolls (we use this retail environment to teach job skills to women with autism).  We get used merchandise and we need an inventory management system that is simple and that we can train our workers to use.  There are a number of consignment software packages but they seem too complex and not relevant to our needs.  We need help to assess them and to determine if we just need a custom designed simple system."
"HIHUA"|"The Children’s Chorus of Washington provides the best choral music experience for young people in the nation’s capital through its exceptional educational programs, performance opportunities, and community partnerships."|"DC"|"USA"|"x"||"HIHUA (CCW) is internationally recognized and critically acclaimed for its seventeen-year history of outstanding artistry. CCW has reached five continents through domestic and international tours, recordings, and frequent appearances on public radio and television. Our extraordinary music education programs, which engage and educate vocalists ages 6 to 18, help youth develop as musicians and leaders, regardless of background, economic status, or prior experience. Our five auditioned ensembles perform frequently with leading music organizations, including the National Symphony Orchestra (NSO), Choral Arts Society, and The Washington Chorus, at Washington, DC s most prestigious venues such as Strathmore Music Hall and The John F. Kennedy Center for the Performing Arts. SING PREP, an inclusive program, introduces first-time singers to the choral experience.

CCW is a small non-profit that has never had a real database for tracking all of our families, donors, alumni, and audience members. We have been using Excel for all of our records, but we ve grown big enough that we need a real database to make sure all the information about our extended family is in one place. In order to continue expanding sustainably, we are in search of an affordable CRM that also has the capacity to sell tickets to concerts and events (we have not been satisfied with our current ticket vendor), and in an ideal world, to also track chorister registration. These technological tools will help us spread our mission and our music to a greater audience and ensure that we can stay in contact with the CCW family for years to come."
"HJUNS"|"The Crisis Food Center provides a 5 day, nutritionally-balanced supply of food to individuals and families who are in need. In addition, we operate the Nearly New Shop which provides new and gently used clothing to clients at no cost."|"IL"|"USA"|"x"||"The Crisis Food Center is a food pantry distributing a 5-day supply of nutritionally balanced food to nearly 30,000 a year.  We are proud of the commitment to health that sets us apart from most pantries.  We are also proud of the summertime program that feeds children breakfast and lunch in the safety of their own homes.  However, keeping track of our clients and their statistics could use improvement.  At the end of the year, we must physically go through each of more than 8000 records to extract the information we need for our records and to report to those who fund us.  As old as I am, I know this does not need to be.  Computers can do this with the right software.  But what is the right software?  Which data base already does what we need it to do.  As old as I am I also know there are people who are trained to know what software I need.  I honestly think whoever helps the Crisis Food Center with this project could in fact be saving my sanity."
"HMHRQ"|"The Respite helps people who have suffered a significant loss in any form to reclaim a healthy and productive life. We provide a safe haven, a supportive community, and take a holistic approach that offers a variety of healing modalities (mind, soul and body) to empower individuals and families. Our vision is to shift how grief is viewed in the world – moving from shame and isolation to unveiling (or mining) grief’s transformative gifts. We welcome grief and provide hope for tomorrow."|"NC"|"USA"|"x"||"HMHRQ is for those who have suffered great tragedy, a significant life loss, a trauma, a life-shaking, earth-shattering event or series of events… And, it is also for those who are living with every day losses which are life-changing and life-evolving. 

We want to start offering online classes. We want to be able to reach as many people as possible with important tools and education about grief and finding hope. Having an online class option will make our resources accessible to anyone with a computer. It will also provide us with another revenue stream so we can continue to offer our services. 

We need help with selecting the best platform/software to do this, and perhaps help us with implementation. We have a WordPress website so perhaps there is a good plugin that could be integrated? We are also open to a ""stand alone"" platform that can be customized to our brand. We will need the platform to offer both webinar formats (visual and audio), a place where docs, videos, etc. can be stored and downloaded by the clients, and perhaps have online forms. Since we are a non-profit we need this to be low-cost or even free.(We might have some money from a possible grant that we could put toward this as well.)"
"HNDWL"|"HNDWL (MJFF) is dedicated to finding a cure for Parkinson's disease through an aggressively funded research agenda and to ensuring the development of improved therapies for those living with Parkinson's today. Since its founding in 2000, MJFF has funded more than $450 million to speed a cure for Parkinson’s. "||"USA"|"X"||"Design an application that brings fundraisers and potential sponsors together. Sponsors could be of any size–from huge corporations to individuals sponsoring their friends. This app should allow our volunteers to track their activities and allow sponsors to match these activities with dollars."
"HOTQC"|"The HOTQC works to promote and protect affordable and sustainable home ownership in neighborhoods across New York City.  Launched as a response to the local repercussions of the national mortgage crisis, the Center’s network of counselors and attorneys offer a range of housing related services, from foreclosure prevention to disaster recovery and relocation."|||||"The Center would like a web application that residents and visitors can use to better understand the public information available though NYC Open Data. The Center would like a visual representation of the data on a neighborhood level, making it easy for community members to see a real time view of what’s happening in their community. Publically available data could also be supplemented with social feeds showing what each neighborhood is talking about (or what lots of neighborhoods are talking about). In general, the app should provide a way for users to get a true understanding of what’s happening in their neighborhoods and present a ‘call to action’ to help draw attention to issues affecting their neighborhoods."
"TSSVE"|"We envision Nourish as a global movement through which students make a sustainable impact on extreme poverty and create opportunities for change. We envision a world in which all people are able to meet their basic human needs. (actually their vision statement)"|||"x"||"A need to develop software to better connect student chapters to each other for support during the year, including access to project resources."
"TTACQ"|"The mission of In My Father’s Kitchen is to feed people spirit, soul and body by using food to open the door to people’s hearts. The purpose of In My Father’s Kitchen is rooted in the teachings and example of Jesus Christ. In My Father’s Kitchen feeds the hungry naturally and spiritually through food distribution and supplying basic necessities."|||"x"||"Establishing a directory of people they serve in order to keep in touch and provide support, proves difficult if they are homeless. Also a need to track impact, archive data."
"UAIHM"|"A people of hope empowered to thrive collectively forming a unified neighborhood rich in culture and community. Discover and develop the unique hopeprints (unique imprints of hope entrusted to each individual to leave on the world around them) of our Hopeprint Family by building relational bridges within our diverse neighborhood and extending into the community at large."|||"x"||"System or software to better help refugees manage paperwork, legal milestones when arriving in Syracuse"
"UCIKK"|"""At Susan G. Komen, our mission is pretty simple: to save lives and end breast cancer forever. How we do it…well, that’s a bit more complex. We educate, support research, offer grants that provide financial and emotional assistance and advocate for better breast cancer policy. But in a broader sense, we empower others, ensure quality care for all, and invest in science to find the cures."""|||"x"||"Would like to better track impact in low-income countries"
"UGJJM"|"the shelter for the city's alcoholics, drug addicts and those who cannot bring themselves to be clean and sober.  Hospitality comes first, then shelter workers help the men sort out their struggles, program to help society's ""forgotten men"""|||"x"||"Needs to establish web presence to help attract donors and other interested parties, also an updated means to keep track of participants (registry/profile/database setup) OR security system management."
"UJPCX"|"To help children thrive and families flourish through innovative, community-based programs."|||"x"||"Development of a coding class for students in an after school program"
"URRHN"|"HELP‘s mission is to create, through merit- and needs-based university scholarships, a community of young professionals and leaders who promote a more just society in Haiti. - See more at: http://uhelp.net/#sthash.kLh9wYhS.dpuf"|||"x"||"Coding for a mobile kiosk/device/application for team members to go into more rural areas and register students in need"
"VERPC"|"Girl Scouting builds girls of courage, confidence, and character, who make the world a better place."|||"x"||"Need to restructure cookie-distribution ordering and distribution system, streamline data input once orders are placed."
"VFRNF"|"Working to end hunger in NYC / provides meals and raises awareness / income support services to help people afford food and achieve dignity and independence / nutrition education / creating long term solutions to poverty"|||"x"||"Help in distributing consistent nformation/materials and empowering others to advocate for the hungry"
"VILFB"|"to empower emerging artists and arts organizations across all disciplines at critical stages in their creative lives and professional/organizational development."|||"x"||"Optimizing the SEO of their hallmark program, NYFA Classified Ads"
"VJLWT"|"We are a Christian Evangelical organization helping the street children of Cairo and the surrounding area."||"Egypt"|"x"||"I need a way to efficiently manage assets around my children--photos, contact information, sponsor data, etc. Right now all my data is in a big spreadsheet and I need to move it into Salesforce. I have to learn about databases. We heard we should be using Salesforce, so that's why I'm here. My mision is to help children, not be an IT person. I know that sponsors want pictures of the children and I hope I can use Salesforce to increase engagement that way.  [do you have established workflow?] What's workflow?  I inherited Salesforce. The Director said,'you're American. You can be incharge of the software.' I'm hoping to connect with a developer here who can help me."
"VJYOF"|"Salesforce add-on to extend the platform, specifically the NGO starter pack. Provide software extensions & software customizations."||||"x"|"Salesforce add-on to extend the platform, specifically the NGO starter pack. Provide software extensions & software customizations."
"VOTID"|"VOTID applies its core capabilities in delivering its primary solution areas: Social Business Management, Employee Centric Communities, Social Business Processes, Customer Centric Communities, and Social Marketing and Outreach. Addressing this core group allows 7Summits to align business objectives with audience needs and deliver solutions that culminate in a clear path to business success."||||"x"|"VOTID applies its core capabilities in delivering its primary solution areas: Social Business Management, Employee Centric Communities, Social Business Processes, Customer Centric Communities, and Social Marketing and Outreach. Addressing this core group allows 7Summits to align business objectives with audience needs and deliver solutions that culminate in a clear path to business success."
"VVJAY"|"VVJAY is headquartered in Markham Ontario, Canada – and exclusively serves the non-profit industry. We are focused on providing leading edge cloud applications and solutions to mid-sized fundraising non-profits of all types, elevating their ability to create social change."||||"x"|"VVJAY is headquartered in Markham Ontario, Canada – and exclusively serves the non-profit industry. We are focused on providing leading edge cloud applications and solutions to mid-sized fundraising non-profits of all types, elevating their ability to create social change."
"VWRDP"|"We work with clients large and small, assisting them at all stages in the process: organizing ideas and developing strategies, selecting the most appropriate package, implementing it for best results, and keeping systems optimized with long-term support."||||"x"|"We work with clients large and small, assisting them at all stages in the process: organizing ideas and developing strategies, selecting the most appropriate package, implementing it for best results, and keeping systems optimized with long-term support."
"WNGRR"|"WNGRR works with nonprofit organizations and educational institutions to create and implement strategic solutions based on cloud technology. We specialize in Salesforce.com and Google Apps implementations."||||"x"|"WNGRR works with nonprofit organizations and educational institutions to create and implement strategic solutions based on cloud technology. We specialize in Salesforce.com and Google Apps implementations."
"WPEXM"|"Complete online donor, event, and fundraising management tools."||||"x"|"""We seek to help non-profits and NGOs leverage technology to maximize their effectiveness and flourish."""
"WPOOR"|"WPOOR is a social venture and certified B Corp exclusively dedicated to strengthening the technical and performance management capacity of nonprofit organizations globally."||||"x"|"WPOOR is a social venture and certified B Corp exclusively dedicated to strengthening the technical and performance management capacity of nonprofit organizations globally."
"WSQAI"|"Software extensions to the Salesforce platform for managing event-based donations."||||"x"|"Software extensions to the Salesforce platform for managing event-based donations."
"WTGCU"|"Funds/transaction support infrastructure for managing fundraising campaigns, nurturing donors, and other CRM functions."||||"x"|"Funds/transaction support infrastructure for managing fundraising campaigns, nurturing donors, and other CRM functions."
"WYTIL"|||||"x"|"This is a set of scripts written in Ruby used to manage provisioning profiles and certificates either locally or through the Apple Developer Center (ADC).The project also contains a few scripts related to managing the provisioning profiles in Xcode.They are used in continuous integration environments (for example Jenkins) to update, compile & validate iOS or Unity3d projects.Required dependencies To manipulate provisioning profiles, you will need plist and json to access the Apple development center site, you will need mechanize >= 2.2 and encrypted_strings."
"XBWTB"|||||"x"|"An Android application by Tony Owen designed to help developers by automatically adding their apps to a widget for easy launching / uninstalling / reinstalling etc.Root features such as one click uninstall, and clear cache added by Ronald Ammann.This project needs a library dependency to libsuperuser."
"XDGNH"|||||"x"|"Available in an app store near you! Overview The PhoneGap Developer app is a testing utility for web developers and designers using the PhoneGap framework. After installing the PhoneGap Developer app you can connect to your PhoneGap desktop app to instantly view and test your project on the device.For more information, see app.phonegap.com."
"XJEMF"|||||"x"|"Robust and comfortable dev stack for isomorphic web apps. Forget about evil frameworks, learn laser focused libraries and patterns instead.Forget about PHP, Ruby, Angular, Backbone, whatever client/server only solution. Also, you don't need another me-too-flux library, vanilla Flux is enough. This dev stack is web dev panacea, at least for me Prerequisites Install iojs or node.js. Then install gulp.js.npm install -g gulp Windows users, please read ryanlanciaux.github.io/blog/2014/08/02/using-jest-for-testing-react-components-on-windows/. sass-loader needs something similar, so please fix it for yourself, or remove sass-loader from package.json and makeconfig.js, or give it up and use developer more friendly OS like Linux or Mac. I just tried to install Python 2.7 on Windows but installation has failed for no reason. Typical Windows, so happy I quit."
"XJGOK"|||||"x"|"The SocialMediaEnhancer (SME) provides beautiful styled and static social media sharing buttons for your WordPress blog. It fetches the social counts (share activities) from Google+, Facebook, Twitter, LinkedIn and Pinterst in the background without the use of performance critital JavaScript from the social networks.To provide a optimal presentation of your post at the social networks after sharing, the SME is using the Open Graph Protocol (OGP) to include well formatted meta elements on every post.Choose a style for the buttons and decide which network do you want to use."
"XRUCC"|||||"x"|"Create a new cron-job. You may do so by scheduling http://yourdomain.com/path_to_script/cron/ with an interval you prefer. Please use the standard 'wget' (without quotation marks) command. The script will grab new data from all available sources."
"XRWEX"|||||"x"|"jquery social media plugin that aggregates and combines Facebook, Twitter, LinkedIn, YouTube, Instagram, Pinterest and.. Combine social feeds from multiple social networks or RSS in elegant layouts via this social plugin. "
"XSSLB"|||||"x"|"SocialMediaMonitoring is a collection of API methods of the Apphera API (Apphera, Inc.). At this time it offers sentiment analysis in 6 languages, keyword tracking (SERP), competitor search and review tracking from social review sites such as Qype, Yelp, Pointoo, kennstdueinen.de, tripadvisor, golocal, hotels.com, meinestadt.de, restaurant-kritik.de, wowarstdu.de etc. including reviewer information. The API is a straight forward REST API you could use with any client like: curl -is -G -d ""&api_key=e23d80483193fddd72a2c364a72cd738&country=de&cat_id=135&geo=53.66,10.1154"" https://api.apphera.com/1/organizations"
"YALXP"|||||"x"|"YALXPis a fully tested Laravel inventory solution. It provides the basics of inventory management using Eloquent such as: • YALXPitem management • YALXPstock management (per location) • YALXPstock movement tracking • YALXPSKU generation • YALXPsupplier management • YALXPtransaction management All movements, stocks and inventory items are automatically given the current logged in user's ID. All inventory actions such as puts/removes/creations are covered by Laravel's built in database transactions. If any exception occurs during an inventory change, it will be rolled back automatically. Depending on your needs, you may use the built in traits for customizing and creating your own models, or you can simply use the built in models.Requirements • Laravel 4.* | 5.* • Laravel's Auth, Sentry or Sentinel if you need automatic accountability Recommended: • Venturecraft/Revisionable (For tracking Category and Location changes to stocks) Benefits If you're using the traits from this package to customize your install, that means you have complete flexibility over your own models, methods (excluding relationship names/type), database tables, property names, and attributes. You can set your own base model, and if you don't like the way a method is performed just override it. Sit back and relax, it's nice to have control."
"YCLOL"|||||"x"|"An interface where administrator can manage products easily on one page and quickly perform the common products actions. From the left there is a tree of taxonomies, where admin can manage nodes just like he does it in /admin/taxonomies now (create, move, rename etc.). After each taxon there is a number of products, having this taxon. By clicking on a taxon or taxonomy admin can see products having taxons in a selected node. Products are shown in Products list. Products list contains the following columns: • Selecting checkbox (helps to select a set of products for group processing). • SKU • Product name (also a link to edit product) • Main price • Indicator if a product has image • Quick actions Products list have pagination and ""products per page"" selector (10/50/100/All).Each product has the following quick actions (from left to right): •Indicator if the product is shown in a shop. If an indicator is dark, the product is hidden. By clicking on a dark indicator product becomes available from now. Light indicator tells that the product is active; admin can hide the product from now by clicking it. • Preview the product on site (opens in a new tab). • Edit product. • Clone product. • Delete product.Above the Products list there a button ""New product in this category"". This button opens ""new product"" dialog with pre-defined taxon (current selected taxon).Quick group products processing controls from the right perform just the most common actions with selected products: • Publish from (select date). • Quick hide from now. • Add a taxon to selected products (select taxon from combo-box). • Delete selected products."
"YHPIM"|||||"x"|"This is a simple web-based inventory management software written in PHP (MySQL) with CodeIgniter. This was specifically written for a high school but with a bit of tweaking, should work fine for others too. Features •Typical inventory-management. Add stuff to stock, issue them and the software keeps track of numbers, costs, etc. •Also manages multiple suppliers, warehouses, etc. So you know whom you buy certain things with and where they're stored. •Also has a vehicle mileage tracker originally meant to track school bus mileages). Add refueling data and it'll show you what mileage you're getting with nice graphs about how your mileage and fuel consumption has been varying. • Different user-levels. • Different customer types (with varying profit margins for each). •Produces numerous reports about how you're doing, what a particular customer has been buying, how the purchase of a certain product going, etc.Usage Like said above, unless you're using it for a school, might need some tweaking. Just install it and see what needs to be changed. I cannot implement them for you but will answer any question you might have about the current code if you email me. •Extract everything. •Create a database using the SQL dump provided. The dump provided has some sample data in it. Use them to explore the system. You can empty them after installation as well. Also make sure to add a user while importing the dump. •Update ./application_fa93g/config/database.php to the correct host, DB name, user and password. You might also have to update the table prefix if you've changed them in the database."
"YIVBF"|||||"x"|"An Open Source Software package for managing the infrastructure of a data center, no matter how small or large.  Initially developed in-house at Vanderbilt University Information Technology Services by Scott Milliken. "
"YJSFL"|||||"x"|"This is my course project for CS315 - Introduction To Database Systems course at IIT Kanpur."
"YLBGJ"|||||"x"|"YLBGJ is an Open Source Inventory and Supply Chain Management System. The initial implementation of YLBGJ will occur at Partners In Health-supported facilities in Haiti."
"YNGPQ"|||||"x"|"Network management for puppet Deprecation Warning This module is no longer being maintained or updated. It has been supercededd by Adrien Thebo's module which can be found here: http://forge.puppetlabs.com/adrien/network Overview This module provides types for network management : • Device configuration files using the network_config type • Live network management using the network_interface type Note: network_interface and network_config types are not dependant on each other in any way. network_interface is experimental. The 'network_config' type The network_config type is used to maintain persistent network configuration. Only redhat-derivatives (RHEL,Fedora,CentOS) are currently supported."
"YPWPR"|||||"x"|"A Network Management UI for global admins in a WordPress Multisite environment Turn your multi-site installation of WordPress into many multi-site networks, all surrounding one central user base. YPWPR allows cape wearing super-admins to create new networks of sites, allowing for infinitely extensible site, network, and domain arrangements."
"YUFWI"|||||"x"|"A discovery service and client for finding and configuring razberi devices over the network. Also provides a central server for collecting status information from razberis on the network. The central server can be configured in a variety of ways: • A standalone server that runs on a single unit (good for when the deployment only has a single razberi) • A server located on the LAN that all units on the network can reach (good for when all sites are connected via a VPN or are located on the same subnet as the management server) • A server located in the cloud, hosted by Razberi (good for when sites are independently setup and all have a route to the internet, also reduces burden of hosting a management server)The razberi devices are configured to push relevant information about itself to the central server on a periodic basis."
"YYKNF"|||||"x"|"The goal of this project is to have a unified way of programming your large-scale dynamic networks. Think of it as a blend between puppet, nagios, collectd, graphite, shipyard, security groups, cloudformation. How does it work? YYKNF allows you to define your network as a set of resources in a .yml file. Example resource types: • Nodes • NetworkInterfaces • Classes • IpRuleSets •...etc Each 'Resource' has a unique id and can have zero or more classes. The id and class structure allows you to target your resources in comparable way to CSS selectors. Once you have defined your network (resources) in a .yml file, you can load the topology into memory. The loaded structure can now be used to develop various network-based configuration management tools. Example tools:• Distributed iptable rules generator: Define rules by referencing other nodes by id or classname (dynamic configuration) • Configuration management: define installed packages, and generate config files per host • Monitorring: define monitorring rules by classnames per host Please refer to the example/ directory for example network configurations. This project is in early-stage development Installation This project uses composer to manage it's dependencies. Simply run composer install to install all dependencies in the vendor/ directory."
